Data;Amostra;As;Cd;Co;Cr;Mn;Ni;Pb;Fe-diss;Fe-tot;Al-diss;Al-tot
30/03/16;M2;<LD;<0.001;<LD;<LD;0,235;<LD;<LD;<0.01;0,32;<0.02;0,062
30/03/16;J1;0,022;<0.001;<LD;<LD;0,819;<LD;<LD;0,08;0,67;0,02;0,16
31/03/16;J2;<LD;<0.001;<LD;<LD;0,573;<LD;<LD;<0.01;17,96;<0.02;2,85
31/03/16;J3;<LD;<0.001;<LD;<LD;0,21;<LD;<LD;<0.01;>18;<0.02;0,79
01/04/16;J4;<LD;<0.001;<LD;<LD;0,236;<LD;<LD;0,015;7,66;<0.02;1,67
01/04/16;J5;<LD;<0.001;<LD;<LD;0,348;<LD;<LD;<0.01;13,49;<0.02;1,67
02/04/16;J10;<LD;<0.001;<LD;<LD;0,279;<LD;<LD;0,65;11,65;0,26;2,28
02/04/16;J11;<LD;<0.001;<LD;<LD;0,142;<LD;<LD;<0.01;6,69;<0.02;2,27
03/04/16;J12;<LD;<0.001;<LD;<LD;0,104;<LD;<LD;<0.01;6,36;<0.02;2,16
03/04/16;J13;<LD;<0.001;<LD;<LD;0,81;<LD;<LD;0,112;3,99;0,057;1,56
03/04/16;J14;0,006;0,001;<LD;<LD;0,029;<LD;<LD;<0.01;1,48;<0.02;0,77
05/04/16;J15;0,004;<0.001;<LD;<LD;0,015;<LD;<LD;<0.01;1,28;<0.02;0,81
05/04/16;J16;0,005;<0.001;<LD;<LD;0,048;<LD;<LD;0,15;2,05;0,068;0,81
06/04/16;J17;0,008;0,001;<LD;<LD;0,027;<LD;<LD;<0.01;1,33;<0.02;0,93
01/04/16;C1;0,012;<0.002;<LD;<LD;0,024;<LD;<LD;<0.01;1,82;<0.02;0,93
02/04/16;C2;0,02;<0.002;<LD;<LD;0,05;<LD;<LD;<0.01;1,11;<0.02;0,68
02/04/16;C3;0,012;<0.002;<LD;<LD;0,024;<LD;<LD;-;1,21;-;0,84
04/04/16;C4;0,003;<0.002;<LD;<LD;0,03;<LD;<LD;<0.01;1,93;<0.02;0,98